5000  0.0000
10000  0.0000
15000  0.0000
20000  0.0000
25000  0.0000
30000  0.0000
35000  0.0000
40000  0.0000
45000  0.0000
50000  0.0000
55000  0.0000
60000  0.0000
65000  0.0000
70000  0.0000
75000  0.0000
80000  0.0000
85000  0.0000
90000  0.0000
95000  0.0000
100000  0.0000
105000  0.0000
110000  0.0000
115000  0.0000
120000  0.0000
125000  0.0000
130000  0.0000
135000  0.0000
140000  0.0000
145000  0.0000
150000  0.0000
155000  0.0000
160000  0.0000
165000  0.0000
170000  0.0000
175000  0.0000
180000  0.0000
185000  0.0000
190000  0.0000
195000  0.0000
200000  0.0000
205000  0.0000
210000  0.0000
215000  0.0000
220000  0.0000
225000  0.0000
230000  0.0000
235000  0.0000
240000  0.0000
245000  0.0000
250000  0.0000
255000  0.0000
260000  0.0000
265000  0.0000
270000  0.0000
275000  0.0000
280000  0.0000
285000  0.0000
290000  0.0000
295000  0.0000
300000  0.0000
305000  0.0000
310000  0.0000
315000  0.0000
320000  0.0000
325000  0.0000
330000  0.0000
335000  0.0000
340000  0.0000
345000  0.0000
350000  0.0000
355000  0.0000
360000  0.0000
365000  0.0000
370000  0.0000
375000  0.0000
380000  0.0000
385000  0.0000
390000  0.0000
395000  0.0000
400000  0.0000
405000  0.0000
410000  0.0000
415000  0.0000
420000  0.0000
425000  0.0000
430000  0.0000
435000  0.0000
440000  0.0000
445000  0.0000
450000  0.0000
455000  0.0000
460000  0.0000
465000  0.0000
470000  0.0000
475000  0.0000
480000  0.0000
485000  0.0000
490000  0.0000
495000  0.0000
500000  0.0000
505000  0.0000
510000  0.0000
515000  0.0000
520000  0.0000
525000  0.0000
530000  0.0000
535000  0.0000
540000  0.0000
545000  0.0000
550000  0.0000
555000  0.0000
560000  0.0000
565000  0.0000
570000  0.0000
575000  0.0000
580000  0.0000
585000  0.0000
590000  0.0000
595000  0.0000
600000  0.0000
605000  0.0000
610000  0.0000
615000  0.0000
620000  0.0000
625000  0.0000
630000  0.0000
635000  0.0000
640000  0.0000
645000  0.0000
650000  0.0000
655000  0.0000
660000  0.0000
665000  0.0000
670000  0.0000
675000  0.0000
680000  0.0000
685000  0.0000
690000  0.0000
695000  0.0000
700000  0.0000
705000  0.0000
710000  0.0000
715000  0.0000
720000  0.0000
725000  0.0000
730000  0.0000
735000  0.0000
740000  0.0000
745000  0.0000
750000  0.0000
755000  0.0000
760000  0.0000
765000  0.0000
770000  0.0000
775000  0.0000
780000  0.0000
785000  0.0000
790000  0.0000
795000  0.0000
800000  0.0000
805000  0.0000
810000  0.0000
815000  0.0000
820000  0.0000
825000  0.0000
830000  0.0000
835000  0.0000
840000  0.0000
845000  0.0000
850000  0.0000
855000  0.0000
860000  0.0000
865000  0.0000
870000  0.0000
875000  0.0000
880000  0.0000
885000  0.0000
890000  0.0000
895000  0.0000
900000  0.0000
905000  0.0000
910000  0.0000
915000  0.0000
920000  0.0000
925000  0.0000
930000  0.0000
935000  0.0000
940000  0.0000
945000  0.0000
950000  0.0000
955000  0.0000
960000  0.0000
965000  0.0000
970000  0.0000
975000  0.0000
980000  0.0000
985000  0.0000
990000  0.0000
995000  0.0000
1000000  0.0000
1005000  0.0000
1010000  0.0000
1015000  0.0000
1020000  0.0000
1025000  0.0000
1030000  0.0000
1035000  0.0000
1040000  0.0000
1045000  0.0000
1050000  0.0000
1055000  0.0000
1060000  0.0000
1065000  0.0000
1070000  0.0000
1075000  0.0000
1080000  0.0000
1085000  0.0000
1090000  0.0000
1095000  0.0000
1100000  0.0000
1105000  0.0000
1110000  0.0000
1115000  0.0000
1120000  0.0000
1125000  0.0000
1130000  0.0000
1135000  0.0000
1140000  0.0000
1145000  0.0000
1150000  0.0000
1155000  0.0000
1160000  0.0000
1165000  0.0000
1170000  0.0000
1175000  0.0000
1180000  0.0000
1185000  0.0000
1190000  0.0000
1195000  0.0000
1200000  0.0000
1205000  0.0000
1210000  0.0000
1215000  0.0000
1220000  0.0000
1225000  0.0000
1230000  0.0000
1235000  0.0000
1240000  0.0000
1245000  0.0000
1250000  0.0000
1255000  0.0000
1260000  0.0000
1265000  0.0000
1270000  0.0000
1275000  0.0000
1280000  0.0000
1285000  0.0000
1290000  0.0000
1295000  0.0000
1300000  0.0000
1305000  0.0000
1310000  0.0000
1315000  0.0000
1320000  0.0000
1325000  0.0000
1330000  0.0000
1335000  0.0000
1340000  0.0000
1345000  0.0000
1350000  0.0000
1355000  0.0000
1360000  0.0000
1365000  0.0000
1370000  0.0000
1375000  0.0000
1380000  0.0000
1385000  0.0000
1390000  0.0000
1395000  0.0000
1400000  0.0000
1405000  0.0000
1410000  0.0000
1415000  0.0000
1420000  0.0000
1425000  0.0000
1430000  0.0000
1435000  0.0000
1440000  0.0000
1445000  0.0000
1450000  0.0000
1455000  0.0000
1460000  0.0000
1465000  0.0000
1470000  0.0000
1475000  0.0000
1480000  0.0000
1485000  0.0000
1490000  0.0000
1495000  0.0000
1500000  0.0000
1505000  0.0000
